"Site","Subsite","Trapnest","Treatment","Nest_ID","Cell_ID","Cell_position","Cell_position_bi","Date","Cell_occupant","Species_or_subtype","Cell_parasitized","Nest_parasitized","Occupant","New_nests_meg","Meg_ps","Meg_no_ps","Meg_active_mothers","Day_of_year","Year"
"BP","AE","trapnest_87","High","87_5a","87_5a_1","not last cell",0,2024-07-22,"megachile","pugnata",0,"not parasitized","megachile",1,12,5,1,204,"year_2024"
"BP","AF","trapnest_90","High","90_10b","90_10b_3","not last cell",0,2024-08-12,"megachile","pugnata",0,"not parasitized","megachile",0,12,7,1,225,"year_2024"
"BP","AF","trapnest_90","High","90_2a","90_2a_4","not last cell",0,2024-07-29,"megachile","pugnata",0,"not parasitized","megachile",0,11,3,2,211,"year_2024"
"BP","AF","trapnest_90","High","90_3b","90_3b_1","last cell",1,2024-08-02,"megachile","pugnata",0,"not parasitized","megachile",4,15,7,4,215,"year_2024"
"BP","AF","trapnest_90","High","90_4b","90_4b_1","not last cell",0,2024-07-26,"parasite","coelioxys",1,"parasitized","megachile",1,12,3,2,208,"year_2024"
"BP","AF","trapnest_90","High","90_4b","90_4b_2","not last cell",0,2024-07-26,"megachile","pugnata",0,"parasitized","megachile",1,12,3,2,208,"year_2024"
"BP","AF","trapnest_90","High","90_4b","90_4b_3","last cell",1,2024-07-29,"megachile","pugnata",0,"parasitized","megachile",0,11,3,2,211,"year_2024"
"BP","AF","trapnest_90","High","90_5a","90_5a_1","not last cell",0,2024-07-16,"megachile","pugnata",0,"not parasitized","megachile",2,13,2,2,198,"year_2024"
"BP","AF","trapnest_90","High","90_5a","90_5a_3","last cell",1,2024-07-22,"megachile","pugnata",0,"not parasitized","megachile",0,11,2,2,204,"year_2024"
"CP","AG","trapnest_91","Low","91_14a","91_14a_1","last cell",1,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",1,1,1,1,173,"year_2024"
"CP","AG","trapnest_91","Low","91_14a","91_14a_2","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",1,1,1,1,173,"year_2024"
"CP","AG","trapnest_91","Low","91_14a","91_14a_3","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",1,1,1,1,173,"year_2024"
"CP","AG","trapnest_93","High","93_16a","93_16a_1","not last cell",0,2024-06-17,"megachile","relativa",0,"not parasitized","megachile",1,12,1,1,169,"year_2024"
"CP","AG","trapnest_93","High","93_16a","93_16a_2","not last cell",0,2024-06-17,"megachile","relativa",0,"not parasitized","megachile",1,12,1,1,169,"year_2024"
"CP","AG","trapnest_93","High","93_16a","93_16a_3","not last cell",0,2024-06-17,"megachile","relativa",0,"not parasitized","megachile",1,12,1,1,169,"year_2024"
"CP","AG","trapnest_93","High","93_16a","93_16a_4","not last cell",0,2024-06-17,"megachile","relativa",0,"not parasitized","megachile",1,12,1,1,169,"year_2024"
"CP","AG","trapnest_93","High","93_16a","93_16a_5","last cell",1,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",2,13,3,3,173,"year_2024"
"CP","AG","trapnest_93","High","93_16a","93_16a_7","not last cell",0,2024-06-21,"megachile","relativa",0,"not parasitized","megachile",2,13,3,3,173,"year_2024"
"CP","AI","trapnest_97","Low","97_14a","97_14a_2","last cell",1,2024-06-21,"megachile","relativa",0,"parasitized","megachile",2,5,5,5,173,"year_2024"
"CP","AI","trapnest_97","Low","97_14a","97_14a_3","not last cell",0,2024-06-21,"parasite","coelioxys",1,"parasitized","megachile",2,5,5,5,173,"year_2024"
"CP","AI","trapnest_97","Low","97_14a","97_14a_4","not last cell",0,2024-06-21,"megachile","relativa",0,"parasitized","megachile",2,5,5,5,173,"year_2024"
"CP","AI","trapnest_97","Low","97_14a","97_14a_5","not last cell",0,2024-06-21,"megachile","relativa",0,"parasitized","megachile",2,5,5,5,173,"year_2024"
"CP","AI","trapnest_97","Low","97_15a","97_15a_1","not last cell",0,2024-06-17,"megachile","relativa",0,"not parasitized","megachile",3,3,3,3,169,"year_2024"
"CP","AI","trapnest_98","Mid","98_12a","98_12a_1","not last cell",0,2024-06-28,"parasite","coelioxys",1,"parasitized","megachile",1,7,1,1,180,"year_2024"
"CP","AI","trapnest_98","Mid","98_12a","98_12a_2","not last cell",0,2024-06-28,"parasite","coelioxys",1,"parasitized","megachile",1,7,1,1,180,"year_2024"
"CP","AI","trapnest_98","Mid","98_16a","98_16a_1","not last cell",0,2024-07-05,"megachile","pugnata",0,"not parasitized","megachile",1,7,2,2,187,"year_2024"
"CP","AI","trapnest_98","Mid","98_16a","98_16a_2","not last cell",0,2024-07-05,"megachile","pugnata",0,"not parasitized","megachile",1,7,2,2,187,"year_2024"
"CP","AI","trapnest_98","Mid","98_16a","98_16a_3","last cell",1,2024-07-08,"parasite","meloidae",1,"parasitized","megachile",0,6,2,2,190,"year_2024"
"CP","AI","trapnest_98","Mid","98_16a","98_16a_4","not last cell",0,2024-07-08,"parasite","meloidae",1,"parasitized","megachile",0,6,2,2,190,"year_2024"
